AvPTAI2015,PTAL,Postcode
1.743083,0,KT9 2SW
3.644788,1,KT9 1TT
5.655172,2,KT6 7AB
3.933086,1,KT6 7EW
7.062827,2,KT3 5HY
3.502252,1,SW20 0AW
4.157895,1,KT9 2RX
8.163636,2,KT6 7UW
5.944751,2,KT4 8DH
11.095588,3,KT6 5RY
15.8,4,KT6 4JB
12.336,3,KT2 7UA
9.414815,2,KT3 3SN
4.930818,1,KT3 4SW
5.065421,2,KT3 6RW
3.922581,1,TW10 5JJ
1.975389,0,CR8 5EP
2.225,0,CR2 8YB
4.631263,1,CR8 4YN
8.563187,2,CR2 6YT
2.430556,0,CR8 5YL
5.864286,2,CR8 5NA
1.814465,0,CR8 1XL
4.037931,1,CR2 8JU
26.476064,6,CR2 7PB
16.674157,4,CR0 4ZS
7.091371,2,CR7 7YE
10.180556,3,SW16 4RQ
7.568093,2,SW16 5TX
6.911765,2,CR0 9UG
6.941504,2,CR2 7ZQ
7.835616,2,CR0 9EZ
3.438596,1,CR0 8YX
12.730089,3,SE25 6XB
6.958955,2,SE25 4SU
10.842593,3,SE25 5RF
8.97006,2,SE25 6XA
6.77907,2,SW16 3SQ
11.145833,3,SE25 6YD
18.264151,4,CR0 7AA
0.365702,0,TN16 3ST
2.456302,0,BR4 9QS
3.552727,1,BR6 8NT
1.34689,0,BR6 9XU
1.323706,0,TN16 3YE
3.869074,1,BR4 9RB
12.892241,3,SE20 7YW
5.216374,2,BR3 6XX
3.737892,1,BR6 9TE
5.161943,2,BR4 0HT
14.913279,3,BR3 5HG
4.860656,1,BR7 5SF
6.87703,2,BR6 0XA
14.25,3,SE26 6UX
11.905405,3,SE26 5QH
8.605422,2,SE26 5BG
5.167082,2,BR1 5SN
2.901341,1,BR7 6TN
4.119342,1,SE9 4UA
6.424171,2,BR6 9WE
4.635443,1,BR6 0EB
1.601509,0,DA14 5BW
2.376682,0,TW19 7NL
3.334375,1,TW13 7NB
4.240741,1,TW5 9WA
8.191489,2,TW8 8QZ
3.483029,1,UB2 5XA
4.937799,1,UB2 5UY
3.734921,1,TW8 9EP
7.867508,2,W5 4RQ
6.423423,2,W6 0YF
2.637224,1,TW15 1AT
4.794038,1,TW13 7QQ
7.529412,2,TW14 9SA
5.733577,2,TW4 5LF
12.420732,3,TW4 7RP
7.137725,2,TW5 9ET
4.619318,1,TW7 7PW
4.317308,1,TW7 7QZ
19.494253,4,TW7 4SZ
5.860577,2,W4 4BX
14.225989,3,W4 5UX
3.688654,1,W7 2PH
7.067901,2,UB2 5YY
3.727794,1,UB5 6XR
7.696833,2,UB6 9HF
8.948617,2,UB6 9UQ
4.674699,1,UB6 7QW
9.548387,2,W7 2JJ
12.104019,3,W3 7XS
8.79375,2,UB1 3HD
8.99005,2,W7 3XA
12.455172,3,W7 2JR
5.908497,2,UB6 9RL
7.97482,2,UB5 6AG
7.311404,2,W7 3XP
7.309091,2,W7 1QW
7.332335,2,UB6 9QY
6.204748,2,UB6 8YJ
12.15566,3,W5 5UA
19.983871,4,W5 5PE
15.40678,4,W5 3SU
9.802817,2,W4 5XL
8.123596,2,W3 9QF
10.487879,3,W5 3QU
1.001332,0,RM15 4XJ
0.85003,0,RM15 4UU
2.705968,1,RM13 8TX
3.553425,1,RM13 7QD
5.864929,2,RM7 9RB
16.020833,4,RM7 9QN
4.296053,1,RM7 8RE
3.24173,1,RM5 3PX
5.417004,2,RM14 2RX
8.854478,2,RM12 6QX
2.509761,1,RM3 0XA
6.387218,2,RM2 6RX
2.211921,0,RM3 9PA
3.115854,1,RM14 3EA
1.092857,0,RM5 3YT
2.997093,1,RM3 8YX
1.943299,0,RM3 9YX
3.568966,1,RM12 4TZ
3.98766,1,UB7 9JP
0.583879,0,WD3 8XD
3.783237,1,UB7 9PS
4.2134,1,UB8 3XG
4.725806,1,UB8 3TR
5.969605,2,UB8 3XH
4.993562,1,UB8 2BQ
2.143251,0,UB10 9QE
2.340909,0,UB10 8XB
4.144144,1,UB9 6LY
2.39782,0,WD3 1PZ
3.165997,1,UB5 6YW
8.668342,2,HA4 9SF
3.103704,1,HA5 2TQ
3.927492,1,HA6 3RE
5.122302,2,UB3 4RE
6.336406,2,UB8 3QJ
3.535836,1,UB4 8TN
5.525714,2,UB4 8HN
4.577465,1,UB4 9LB
2.858974,1,UB5 6FQ
4.646465,1,HA5 1RH
8.409091,2,UB5 4DT
7.297753,2,HA2 0YL
3.003021,1,HA5 5RY
4.457265,1,HA5 5PG
20.027933,5,HA3 8UX
5.027027,2,HA5 5SX
11.715152,3,HA3 7TU
3.31441,1,HA7 3JS
2.38,0,HA7 4JZ
3.298561,1,HA8 8AX
9.235294,2,HA5 5JQ
7.006579,2,HA4 0RJ
10.006623,3,HA2 7SJ
3.662539,1,HA5 4YH
8.144828,2,HA2 7SE
6.892045,2,HA3 8UQ
8.661157,2,HA3 7UD
3.642458,1,HA7 4HU
5.382813,2,NW9 9RA
5.098765,2,HA8 6BQ
7.5,2,HA8 7EB
7.528302,2,HA9 7LY
14.701863,3,HA9 8AF
8.843882,2,HA9 8XB
8.007407,2,NW10 9DG
5.296137,2,NW9 8TG
6.592593,2,NW9 8SD
5.187266,2,NW9 9SJ
9.336538,2,HA0 4UZ
7.663415,2,HA0 4PQ
14.070175,3,NW10 5YS
12.0,3,NW10 9UU
12.352941,3,NW2 5UG
17.437086,4,W9 3EG
11.188235,3,NW6 7YZ
21.11828,5,W9 2EX
9.864286,2,HA9 8UP
6.451327,2,NW9 9SN
10.094118,3,NW2 7SB
5.876068,2,NW2 7UH
13.20979,3,NW2 6XN
7.788177,2,NW9 9UE
4.12,1,NW7 4HZ
2.548854,1,EN5 5YR
9.833828,2,NW9 7SD
9.510067,2,NW2 2NB
6.137405,2,NW9 6SR
14.141479,3,NW3 7UT
5.289641,2,NW3 7JP
6.937729,2,NW7 1NJ
4.7251,1,N6 4TB
4.77957,1,HA8 9XG
3.086957,1,NW7 4SX
3.332103,1,NW7 4QN
3.235429,1,NW7 4HR
7.720721,2,N20 9RW
6.313208,2,N3 2UD
6.505535,2,N20 0XU
5.77709,2,N20 0BB
5.122995,2,N14 4QU
11.270531,3,NW9 5WW
5.926316,2,NW4 4XW
11.061905,3,N3 2UJ
11.700599,3,SW16 5YR
22.165517,5,SW16 6UD
13.266667,3,SW16 6ER
12.613793,3,SW16 3RG
9.92381,2,SW4 8PU
19.65873,4,SW2 4XW
15.176923,4,SW4 9RW
18.208696,4,SW4 8EW
15.287129,4,SW2 3UQ
26.966667,6,SW9 8UR
29.0,6,SW9 9UU
19.838095,4,SW9 9SD
35.857143,6,SW9 6BU
14.408696,3,SW9 8QJ
10.700637,3,SE27 9UF
18.038961,4,SW2 3UL
15.62439,4,SW9 8RZ
83.457516,7,SE11 6RE
20.522124,5,SW8 4PA
22.340909,5,SW9 9QB
31.694215,6,SE11 6UN
7.055385,2,SE26 6TQ
31.819549,6,SE16 4XL
9.717857,2,SE5 8DU
14.53125,3,SE5 8UY
12.627451,3,SE22 9PQ
8.361233,2,SE4 2DJ
22.135417,5,SE5 9QW
14.333333,3,SE5 8UW
25.669014,6,SE5 8QQ
13.984848,3,SE4 2FD
15.072289,4,SE5 7UB
29.135802,6,SE5 0XN
15.428571,4,SE5 7TQ
26.434783,6,SE5 0JE
12.131034,3,SE16 3JY
11.424242,3,SE16 3XF
80.867816,7,SE11 4TW
31.421488,6,SE16 3YB
20.701987,5,SE8 5DJ
8.074074,2,SE8 5EG
56.158537,7,SE17 1UP
6.153595,2,SE6 4RS
19.831169,4,SE4 2QS
7.347107,2,SE6 3PW
5.941176,2,SE6 3DQ
17.776824,4,SE3 9UE
12.355556,3,SE26 6YB
11.545455,3,SE26 6TY
9.029412,2,SE6 4NW
17.631285,4,SE6 4YW
9.508021,2,SE6 3UW
11.781609,3,SE6 4XQ
14.45,3,SE4 2SZ
25.165829,6,SE8 4LJ
22.845238,5,SE8 4QN
16.934426,4,SE8 5HB
8.092437,2,SE9 4PW
10.225275,3,SE13 5TA
8.174157,2,SE8 5XA
5.285276,2,SE9 5SQ
6.595331,2,SE9 4UG
7.511879,2,SE9 5TQ
4.122667,1,SE18 4LG
9.706935,2,SE7 8SX
14.550459,3,SE7 8SY
12.952899,3,SE8 4HH
9.131148,2,SE9 6TT
10.130841,3,SE3 9SQ
4.684874,1,SE9 6UA
8.698473,2,SE9 6UG
11.8867,3,SE7 8UQ
12.426415,3,SE18 7LL
7.116379,2,SE2 9HX
11.987952,3,SE28 0PD
4.443299,1,SE28 8TQ
7.041045,2,SE2 9YA
6.034221,2,SE9 3UW
3.439759,1,SE9 2HS
2.0625,0,DA5 3NH
7.692593,2,DA5 3EA
4.874715,1,DA5 3QW
3.471033,1,DA1 4TT
2.499109,0,DA8 3QH
4.158996,1,DA8 3SW
4.310345,1,SE2 0DZ
2.662551,1,SE28 8SQ
6.738095,2,SE9 2RW
6.341014,2,DA16 3RW
3.401914,1,DA5 3QA
5.833333,2,DA7 4UX
9.478599,2,DA7 4NZ
3.910345,1,DA7 5SZ
6.929293,2,DA7 6HZ
3.534091,1,DA8 3HQ
6.872414,2,DA7 6RU
4.5625,1,DA8 3SA
6.114894,2,SE2 9TW
0.756198,0,EN4 0QA
5.938628,2,N21 3SL
3.014437,1,N14 4XR
3.83301,1,N21 1SP
7.503788,2,N18 2YJ
5.968912,2,N21 3BE
8.913462,2,N9 9YY
6.088785,2,N9 8RX
7.641337,2,N21 2TL
2.663342,1,N9 9LQ
5.465909,2,N9 7NL
3.37797,1,EN3 7XW
11.064935,3,N22 8YW
11.16092,3,N14 7LB
7.973684,2,N21 1UL
6.909091,2,N9 9XP
5.76378,2,N9 9XL
7.884793,2,EN2 9HT
7.512281,2,EN3 5XZ
4.707965,1,EN8 8RZ
4.230769,1,EN8 7RR
8.575,2,E10 7DH
8.051948,2,E17 7PP
4.595745,1,N17 9NG
5.207921,2,E4 8YY
4.964674,1,E4 7UW
17.76699,4,E15 2TR
6.552632,2,E17 9AW
11.383562,3,E17 9QD
15.933333,4,E11 4EQ
10.743719,3,E17 9DW
9.814433,2,E17 6SF
18.693694,4,E17 9TA
7.794595,2,E17 9ND
6.269231,2,E4 9JX
4.306383,1,IG8 9RG
8.095238,2,E7 9EZ
5.656863,2,E4 9XG
4.276382,1,E4 9SS
4.025316,1,IG8 9TL
20.723077,5,E11 4TQ
4.349515,1,E7 0JU
9.643154,2,IG4 5AL
7.038647,2,IG3 8JW
4.60084,1,IG8 8QW
6.0,2,IG8 8SA
9.375758,2,RM8 1YQ
2.297674,0,RM6 5SX
4.219608,1,IG9 6JG
2.270796,0,RM5 2DP
10.929688,3,IG11 8PE
12.992308,3,IG1 4GZ
5.281081,2,IG3 9YD
15.414474,4,IG1 4UE
7.57619,2,RM6 4XU
11.438424,3,E18 2UB
4.610442,1,IG8 8FE
7.198676,2,IG8 9HZ
8.688312,2,IG6 1LQ
4.509174,1,IG8 8NA
5.701987,2,RM6 5UL
4.769481,1,IG9 5TT
1.676056,0,SM6 0SW
3.043147,1,SM3 9TQ
3.019802,1,SM6 9WY
6.786667,2,SM5 2SW
4.831683,1,SM6 7JU
4.493562,1,SM5 4JF
4.723958,1,SM3 9TS
4.479592,1,SM3 9DX
10.811024,3,SM2 6TJ
11.234637,3,SM2 6SB
18.584615,4,SM1 4TP
8.52451,2,SM5 3SX
8.497355,2,SM1 3TT
4.295918,1,SM3 9WS
5.863946,2,SM5 2TD
7.794118,2,SM6 9RW
8.426829,2,SM6 8TG
3.976096,1,SM6 8QH
2.925439,1,TW12 3BX
3.846868,1,TW11 9NR
5.298893,2,TW11 9RW
3.484536,1,TW4 5QW
12.346734,3,TW1 4QN
1.488865,0,TW11 9NG
9.528369,2,TW9 4QW
4.861972,1,TW9 4NB
1.659829,0,TW10 5HR
8.87766,2,SW15 6LG
3.719388,1,TW12 3YZ
6.552632,2,TW2 5NY
5.770492,2,TW2 6RG
4.962963,1,TW7 7NN
9.526316,2,TW2 6SW
7.787129,2,TW7 7BZ
10.175373,3,TW9 2SD
6.44186,2,SW13 9SF
6.527027,2,SW20 9PA
8.036913,2,SW19 2SZ
2.370607,0,SW20 0TH
7.275556,2,SW19 8UQ
3.302703,1,SW20 9NQ
6.387435,2,SW20 9PB
10.293478,3,SW20 8UA
21.684211,5,SW20 8SX
7.769231,2,SM4 6SS
9.295699,2,SM4 6RW
13.104396,3,SW20 9EW
17.9,4,SW19 3UP
12.37931,3,CR4 4HA
4.737089,1,CR7 6EZ
8.292135,2,SW17 9RQ
6.272109,2,SW16 5UL
22.15,5,SW20 8RN
15.900901,4,SW19 8UD
7.486957,2,SW19 2UW
14.234234,3,SW19 2RZ
4.884615,1,SW15 5SL
15.260417,4,SW18 1PT
7.420863,2,SW18 3SX
7.339286,2,SW19 6TT
6.516304,2,SW15 6XR
14.5125,3,SW18 5SS
20.872549,5,SW17 9XL
16.358025,4,SW17 8SZ
10.611465,3,SW18 5UQ
13.262774,3,SW18 4UW
20.88,5,SW17 7TH
7.542254,2,SW17 9TW
11.21978,3,SW17 8UE
17.32,4,SW4 9RR
24.675862,5,SW18 4LD
30.25,6,SW4 9BE
36.953704,6,SW18 1TE
12.929078,3,SW18 1TZ
12.176101,6,SW8 5PZ
31.095745,6,SW8 3RE
10.33557,3,SW6 6QU
11.419355,3,SW6 7RN
9.471014,2,SW6 3HX
17.146067,4,SW6 4XG
20.279412,5,SW6 7UR
14.408,3,W6 9UP
34.783019,6,W6 9XY
28.277778,6,W6 8DQ
9.962025,2,W3 7TS
7.613636,2,W3 7HQ
28.590909,6,W12 8QQ
9.964809,2,W3 7DT
17.492308,4,SW6 7JF
14.791209,3,W6 9SY
21.84375,5,W14 9XX
30.927273,6,W6 7RW
14.285714,3,
23.484848,5,
26.392157,6,
25.810811,6,
24.767123,5,
18.892157,4,
12.425926,3,
14.895833,3,
21.480769,5,
10.022472,3,
15.947368,4,
37.895833,6,
33.901639,6,
27.596491,6,
24.610169,5,
31.122642,6,
26.931373,6,
33.102564,6,
66.445087,7,WC2R 3LL
36.412698,6,W2 6QJ
27.150418,6,W2 2UH
52.90625,7,W2 6QT
26.758065,6,SW1W 9SU
42.144928,7,SW1V 2SE
65.030303,7,WC2H 0EW
20.897959,5,W9 3SP
62.32,7,W2 2RF
14.671053,3,W9 1TQ
18.592593,4,W9 1RW
55.574257,7,W1W 8RA
18.192982,4,W9 3QH
27.102041,6,W2 6QD
64.736842,7,SW1W 9TR
33.5,6,SW1V 4BZ
19.134328,4,W9 3UN
26.746032,6,W9 2QR
18.723077,4,W9 2NU
34.465116,6,W2 1EJ
22.296,5,NW8 7QN
5.978395,2,NW5 1TS
21.73913,5,W9 1QB
65.543689,7,WC1N 1QG
63.05042,7,WC2H 9RZ
45.84058,7,NW1 9TD
25.092437,6,NW8 7LS
17.527027,4,NW5 2SR
65.728814,7,WC1X 9NX
14.74,3,NW6 2EG
15.890323,4,NW3 7XG
13.671429,3,NW5 4SF
7.838057,2,NW3 7LT
21.640777,5,NW5 4LL
25.252874,6,NW6 3RW
13.671053,3,NW3 5DJ
18.694444,4,NW5 4SA
31.725926,6,NW1 7SS
16.126667,4,
25.857143,6,
9.348684,2,
15.085366,4,
10.574468,3,
16.069444,4,
47.931818,7,
29.954128,6,
24.479339,5,
21.014493,5,
19.177419,4,
9.939394,2,
12.014085,3,
17.204545,4,
8.687831,2,
21.793103,5,
34.255102,6,
22.59375,5,
18.833333,4,
23.838235,5,
37.677083,6,WC1X 9RD
27.017544,6,N7 9UW
31.686047,6,N7 8RP
24.262626,5,N7 9UE
22.613861,5,N7 8JL
29.416667,6,N7 8DD
16.493976,4,N7 6RG
44.0,7,EC2Y 9AY
21.051948,5,N1 8UP
27.547619,6,N1 4BE
22.735632,5,N7 8XG
15.059524,4,N7 6LR
23.84,5,NW5 1HZ
36.265957,6,N7 7RX
14.865854,3,N8 9RE
24.641975,5,N5 2SN
38.504854,6,
16.597701,4,
22.133333,5,
18.852941,4,
10.778481,3,
10.105769,3,
18.858491,4,
15.621359,4,
15.873239,4,
11.2,3,
4.405128,1,
29.72549,6,
25.031746,6,
30.222222,6,
14.480519,3,
29.820513,6,
24.3125,5,
18.756098,4,
17.278351,4,
17.920455,4,
12.26087,3,
8.207171,2,N6 5YT
23.237179,5,N8 0SJ
6.385787,2,N6 4TJ
17.086957,4,N22 8YY
8.110345,2,N8 9TP
16.9,4,N8 9SE
7.209877,2,N8 8TB
9.712963,2,N8 9RR
6.339695,2,N22 7XW
22.704918,5,N8 0QL
14.283784,3,N22 8SD
11.697248,3,N4 1LW
14.622047,3,N4 1UW
25.457143,6,N17 9PE
10.882353,3,N22 6RZ
15.473958,4,N17 9YL
9.052326,2,N17 8SH
16.139785,4,N17 6YT
10.521739,3,N18 2RX
5.412998,2,E16 2SW
13.119522,3,E3 3JL
4.65008,1,IG11 0AD
4.541899,1,E6 6JN
28.018868,6,E3 3DU
10.587912,3,E16 4EG
7.95098,2,E6 5TW
13.264706,3,E16 4EQ
16.105263,4,E15 4QF
14.568421,3,E15 3QZ
13.1,3,E7 9PA
13.294737,3,E6 3NQ
17.435644,4,E6 6ET
11.75,3,E7 9QX
11.635135,3,E7 8QJ
14.933333,3,E7 8QU
7.614286,2,E6 6EB
8.685039,2,E7 9RU
11.625,3,E7 8QW
4.575269,1,E12 6LE
9.333333,2,IG11 7YQ
2.528517,1,RM9 6XT
4.162921,1,RM9 6YS
4.551402,1,RM10 9YZ
25.44186,6,IG11 9XW
8.902439,2,IG11 9YB
7.013423,2,RM9 4XW
5.47541,2,RM9 6YQ
5.455026,2,RM9 5SD
6.007634,2,RM8 3XU
7.797101,2,RM9 5XJ
8.159091,2,RM8 3YH
5.287879,2,RM9 5XL
6.454545,2,RM8 1SW
3.600575,1,RM7 0YZ
3.675595,1,RM6 6YX
5.447154,2,RM9 5YX
90.802508,7,
