Borough,RMSE,MAE,Loss
SE15,90176.1015625,58216.34765625,8121251328.0
EC3,452904.59375,183153.484375,189647667200.0
SW16,85561.4921875,52992.24609375,7336357376.0
NW9,59840.734375,37640.91015625,3578179584.0
RM6,44224.09765625,33048.7109375,1959172480.0
DA18,34333.90625,26764.62890625,1795316736.0
IG2,55890.2265625,39882.48046875,3138829824.0
SW12,130592.40625,77314.40625,17022977024.0
SE11,131457.140625,84474.109375,17264465920.0
IG6,55856.87890625,40995.75390625,3112127232.0
W12,215629.9375,99954.9453125,46489300992.0
E11,84292.7265625,49193.8515625,7098383872.0
RM2,82385.5078125,49904.92578125,6785260544.0
TW13,40104.14453125,28737.541015625,1615658624.0
SE28,31501.205078125,19409.267578125,989415552.0
N2,392333.9375,150094.546875,152695472128.0
KT5,68256.7265625,42992.7421875,4597671936.0
UB5,49279.1640625,34107.34375,2427478528.0
TW9,192690.984375,111527.0625,36991107072.0
CR5,69981.546875,49352.0625,4900488192.0
DA7,50502.6171875,35945.46484375,2528958208.0
W9,270667.65625,93266.9140625,72923086848.0
SE8,67708.8671875,45182.55078125,4739272192.0
UB1,50225.703125,35759.234375,2522621440.0
KT1,86219.03125,58743.578125,7420793856.0
N6,465128.28125,195160.78125,216440258560.0
CR2,69037.671875,44209.859375,4745252352.0
N19,138368.703125,80619.21875,19145895936.0
WD3,91356.34375,65801.859375,8345981440.0
N20,216294.25,101889.515625,46676127744.0
UB6,46148.375,30648.30859375,2124720768.0
KT6,86886.0546875,52996.4296875,7545882112.0
N1,229325.859375,119074.15625,52321263616.0
SW9,104423.1484375,68917.28125,10898701312.0
N5,195044.296875,114032.171875,38033006592.0
E8,126393.875,76915.2890625,15760196608.0
KT2,209248.84375,83542.6796875,48908763136.0
UB2,62295.19140625,40426.59375,3910625280.0
HA8,85399.8515625,51180.3671875,7244662784.0
SW15,228278.09375,105800.3828125,52130009088.0
SE16,83367.7109375,50272.4296875,6901531648.0
RM5,46676.12890625,33352.8125,2170938880.0
E16,65019.53515625,43248.1640625,4238864896.0
SE12,73928.6796875,47546.1796875,5384193536.0
EC4,155611.84375,95426.640625,24947963904.0
SW11,255197.40625,130086.7109375,65062969344.0
TW10,307368.96875,154256.40625,93973192704.0
RM1,47597.45703125,32442.509765625,2260219904.0
E12,50604.13671875,32014.044921875,2544927744.0
W11,735560.5625,333593.75,537134202880.0
IG5,68707.890625,44478.8046875,4628872704.0
NW4,145422.296875,75862.2890625,21105405952.0
HA6,156644.0,87297.8359375,24508426240.0
SE18,51693.7578125,32821.890625,2671690240.0
DA15,57246.55078125,39472.859375,3404107520.0
BR2,100176.7265625,57217.515625,10021915648.0
E18,74944.1171875,49570.1015625,5573411328.0
SE21,197602.8125,117479.6953125,38930223104.0
HA2,63967.73828125,43896.65234375,4090111232.0
SE25,50057.4296875,33924.23046875,2505761536.0
BR6,153182.953125,69004.9765625,23424610304.0
N17,51947.484375,35870.8125,2697404672.0
RM12,45827.25390625,34496.265625,2108852352.0
SM5,50398.078125,35334.03125,2537561088.0
TN16,62945.55078125,41389.19921875,3957408512.0
SW3,868928.3125,394343.78125,751122055168.0
EN4,226982.109375,104281.8125,51284869120.0
TW4,54757.48046875,38927.0234375,3013988096.0
SE1,219843.046875,104441.28125,48276574208.0
UB8,57033.21875,33977.0234375,3252037120.0
KT8,1.0,1.0,1.0
E2,98316.7734375,62336.4375,9647224832.0
NW10,123512.6640625,66052.3359375,15227537408.0
W4,242661.09375,127690.2578125,58502123520.0
SW7,1099179.75,355683.34375,1207088578560.0
SM1,65386.30078125,40212.140625,4260740864.0
N13,77634.1796875,49589.34765625,5986091008.0
CR8,115153.578125,58882.48828125,13185048576.0
E6,51011.66796875,34503.4609375,2601085696.0
SE5,116772.703125,70247.6328125,13658145792.0
W3,123945.1328125,72607.671875,15342132224.0
E15E20,66093.515625,41409.296875,4372924416.0
RM11,105278.6875,59938.56640625,11011304448.0
SM6,50605.31640625,33025.453125,2566035712.0
N14,84222.0546875,56725.0234375,7130335232.0
E1,115122.75,65248.01171875,13225525248.0
SE2,43643.74609375,31965.623046875,1900950528.0
TW7,67431.78125,42323.58984375,4547847168.0
N10,145726.9375,89338.515625,21125957632.0
SM2,84536.5859375,42113.25390625,7118734848.0
SW4,216436.234375,112037.3203125,46633902080.0
IG1IG4,58329.25,40892.6484375,3425592576.0
W7,70141.1640625,48322.33203125,4859917824.0
TW3,56163.69921875,38786.7734375,3137047040.0
SE6,50504.82421875,34082.7890625,2547477760.0
E5,114013.140625,70617.90625,12947592192.0
N8,120489.203125,70996.1484375,14503324672.0
BR5BR8,80857.1875,48473.74609375,6508256768.0
SW18,149507.703125,83244.359375,22339725312.0
HA5,110515.8984375,70183.2421875,12220751872.0
NW7,169088.109375,89643.8125,28527228928.0
SE22,97705.3359375,59502.03515625,9544094720.0
RM8,32826.59765625,24338.48046875,1077585536.0
BR1,98839.96875,53181.92578125,9716289536.0
DA16,53423.125,31424.35546875,2865244928.0
NW3,416103.15625,197677.484375,172879233024.0
HA1,75765.3671875,46794.56640625,6216687616.0
IG8,126126.015625,64963.31640625,15873579008.0
UB10,104386.46875,51450.12109375,10892344320.0
SE26,88991.78125,51848.6796875,7804147712.0
SE7,65030.7265625,45924.88671875,4160580608.0
N9,37393.87890625,25697.919921875,1404865280.0
E4,58063.83984375,39374.6484375,3376565248.0
TW2,92792.8984375,56528.7421875,8608270336.0
SW5,444672.78125,204171.40625,198617808896.0
RM14,90926.234375,53667.17578125,8210327040.0
SM3,56990.6015625,40884.62890625,3270398720.0
EN2,72204.375,47247.1328125,5227659264.0
W6,386755.6875,179977.53125,148053491712.0
DA8,41008.3203125,29442.63671875,1676411648.0
N11,74194.609375,49205.60546875,5495327232.0
SE3,151063.15625,82745.0,22711582720.0
N15,78700.046875,50449.578125,6153737728.0
W2,308808.875,139843.25,95362924544.0
RM10,37673.7890625,28498.296875,1417611776.0
SW1,759867.5625,278303.3125,574009704448.0
SE27,96293.765625,60328.58203125,9268248576.0
BR4,79188.6796875,53974.125,6280083968.0
IG9,101757.984375,64045.6015625,9144395776.0
HA0,64662.203125,40955.015625,4140886272.0
NW2,131663.125,70339.6484375,17326954496.0
SW20,302547.75,144543.40625,91192156160.0
DA17,36383.62109375,25911.166015625,1318798848.0
SE23,76089.875,49519.20703125,5790659584.0
RM9,30255.525390625,22469.05078125,1079324416.0
SW19,236443.625,96360.3125,55877144576.0
NW6,174924.84375,93744.15625,30580486144.0
HA4,84867.0625,47042.60546875,7198391296.0
BR7,155442.0625,89178.265625,23881347072.0
SE24,159064.265625,98361.8515625,25126465536.0
NW1,303214.5,135915.453125,91737128960.0
HA3,62176.95703125,39147.9921875,3845621760.0
IG11,35678.18359375,24234.76953125,1274565504.0
SE20,1.0,1.0,1.0
BR3,84379.0625,52259.3984375,7119825920.0
DA14,52347.94140625,34845.4453125,2752688128.0
SE19,95245.4765625,50467.25,9073090560.0
HA7,165438.296875,81344.7265625,27381528576.0
NW5,183033.375,117991.40625,33451540480.0
TW1,167124.453125,94465.5859375,27918336000.0
E7,61381.15625,36755.87109375,3766994688.0
SE4,93185.3203125,57284.48828125,8649862144.0
N12,87257.1640625,58936.890625,7630677504.0
NW11,386660.4375,162278.25,154662469632.0
EN1,153771.75,75302.765625,23640227840.0
W5,172432.5625,83762.421875,29741041664.0
SW6,262692.5,152602.21875,68827570176.0
UB9,62974.7578125,43637.15234375,3819901184.0
KT9,50721.90625,36361.171875,2532400896.0
E3,76000.671875,48485.390625,5731955200.0
TW5,62961.8203125,44806.2109375,3958906368.0
SW2,100987.9609375,64906.0703125,10141799424.0
RM13,47677.234375,33759.0546875,2268836352.0
SM4,49945.265625,35654.4140625,2492348160.0
EN5,139161.296875,65839.7890625,19285022720.0
W1,888689.125,357600.46875,789289959424.0
N16,98936.8203125,61498.27734375,9802669056.0
E9,122301.6171875,68053.2578125,14807751680.0
KT3,106918.875,66940.359375,11373228032.0
N4,129536.3828125,74796.8203125,16757529600.0
UB3,46042.72265625,32882.25390625,2105392000.0
CR7,48734.8046875,35124.828125,2367241728.0
DA5,88921.4140625,49887.59375,7878819328.0
EN3EN8,37179.3125,24753.4375,1381150464.0
SW8,165720.9375,92602.0703125,27136620544.0
UB7,55592.31640625,34818.05078125,3071117312.0
N21,126359.6171875,72731.9140625,15887710208.0
DA1,38234.26953125,28504.697265625,1465062912.0
N18,40397.7421875,29555.90234375,1653601408.0
W10,324142.25,124747.2421875,104911044608.0
TW11,152950.234375,91405.765625,23477327872.0
E13,48798.87109375,33584.17578125,2406918144.0
SW10,797438.5625,345398.125,626954207232.0
SE13,75319.15625,48725.72265625,5674214912.0
E17,66345.6953125,42442.9921875,4407752192.0
W14,558249.25,186366.3125,310872932352.0
SE17,91883.671875,62224.68359375,8417980416.0
EC1,165096.75,90790.8984375,27250393088.0
HA9,67737.15625,45490.94921875,4583907840.0
SW14,356021.9375,122324.8359375,125809065984.0
WC2,418124.8125,226285.359375,170721787904.0
E10,58608.62890625,36172.453125,3405064960.0
RM3,44064.74609375,27809.62109375,1938044928.0
TW12,109068.71875,63918.73828125,11887422464.0
W13,115226.7734375,67484.484375,13254799360.0
IG7,56751.51171875,35835.0,3264361728.0
SE10,130450.4921875,74429.6953125,16955086848.0
SW13,451500.46875,223642.8125,216605671424.0
IG3,63160.58984375,42211.78125,3949533696.0
E14,96843.2578125,56478.65625,9378616320.0
RM7,39419.18359375,29808.697265625,1555457408.0
WC1,190743.78125,99491.0625,36185415680.0
SW17,137746.328125,60199.6796875,18889240576.0
NW8,513211.21875,215768.71875,263605059584.0
EC2,221709.890625,108025.1015625,49029939200.0
SE14,75388.90625,46121.40234375,5643302400.0
SE9,57489.375,35545.84765625,3302124544.0
N7,111705.375,63832.86328125,12478052352.0
W8,1180277.25,469564.53125,1393054449664.0
DA6,74055.1171875,46360.89453125,5772834816.0
CR4,46831.4375,31945.5078125,2190680576.0
TW8,107227.421875,66217.390625,11492560896.0
N22,74454.4453125,49357.99609375,5530879488.0
KT4,58910.578125,36896.54296875,3518582784.0
N3,137240.0,79564.65625,18827175936.0
UB4,47068.1640625,34066.6875,2215262208.0
CR0,55385.4453125,32156.169921875,3067547648.0
