Borough,lr,dropout_rate,n_layers,n_units_l0,n_units_l1,n_units_l2
E6,0.06259788408047840,0.13370506355237900,1,43,,
E1,0.043013872713776800,0.09651017346302120,2,118,89,
IG8,0.006915783691004170,0.4492747780934860,2,101,30,
N15,0.003638731123393220,0.2618603839532710,2,88,107,
SW9,0.09745030416864420,0.09758536579022910,3,42,18,16
N12,0.016488889292666000,0.03866767699864120,3,128,17,125
KT6,0.02248808561367510,0.151598324168927,3,109,29,58
W7,0.0072340268695027100,0.05364992138581800,3,62,88,33
KT1,0.04036578068723800,0.17786620422571500,3,41,110,21
N9,0.0191564895310933,0.20486226036842000,3,71,127,69
DA17,0.055774011829801000,0.041789146099754400,3,28,67,16
DA6,0.04612309331080420,0.07824784792851890,3,72,83,126
RM7,0.09934911016929570,0.034453107676939600,2,41,84,
BR4,0.007200216813522060,0.11724024659230200,2,35,16,
SE18,0.01139958515922460,0.04571907528707010,3,67,122,71
EC4,0.09909366259276580,0.007090553845427730,2,60,71,
DA1,0.08953487697210270,0.04948978964362570,3,50,126,22
BR3,0.01801705997520770,0.07088479374190910,3,24,97,123
SE8,0.009235340617753530,0.031145745547449400,3,113,92,19
EC3,0.09946490229542850,0.10459677091064600,2,29,39,
E15E20,0.0544823989297408,0.043923632718845900,3,67,23,22
TW9,0.009703396402003220,0.10409474124687100,2,53,82,
CR5,0.004131947082556630,0.28174802865768900,3,128,99,25
SM6,0.004337164618752500,0.011798027009447300,2,53,112,
RM12,0.09254725408570850,0.026479435136732900,2,101,50,
CR2,0.006386344253665300,0.2734939913123420,3,96,69,16
SM1,0.041624673430600200,0.02523445529154700,2,117,102,
UB8,0.004226543079636650,0.11698851456884700,2,78,122,
DA16,0.05402995619175710,0.0030168690593395000,2,118,120,
N8,0.020145467134152700,0.11149189847484000,3,65,120,62
W6,0.04682154705671560,0.022451906403641000,3,19,77,55
W1,0.04221628336615550,0.0319946443572936,3,34,70,16
SE9,0.018706265626359700,0.05280780644038060,3,88,53,65
EC2,0.04019376030666910,0.28835402197923800,3,66,73,81
BR2,0.030253820686990200,0.028888927755304800,3,39,107,24
RM1,0.0021876279961203400,0.0068274176192110000,3,124,69,127
SE19,0.05045945432244520,0.035842435151258700,2,52,105,
DA7,0.028791098917826100,0.2010490184063480,2,71,28,
RM6,0.0028783999499309300,0.141265854282754,3,65,103,16
SW8,0.03304034410924240,0.08382769272227940,3,26,77,25
N14,0.08895994124259230,0.28691974004031600,3,30,47,65
IG9,0.012109173180694400,0.2031530065322390,2,22,30,
WC1,0.01874892104852170,0.06749204625634510,3,40,19,47
UB9,0.031999784585035400,0.30361629636212400,2,74,36,
N22,0.06539742099933810,0.10647984614422000,2,113,102,
RM14,0.09110759967105920,0.0357771861222896,2,67,89,
RM13,0.03691670280681780,0.08731279394856650,3,118,20,65
CR4,0.01682723840218340,0.03554061746768710,3,61,63,128
TW8,0.025356776629957700,0.13595733567649600,2,65,69,
SE28,0.026635015578488900,0.018031768030836000,3,111,21,16
E18,0.012137323734860900,0.2356429358532120,2,98,75,
TW5,0.0061956128606963800,0.21658732729142000,3,103,18,36
E12,0.0048475008973015400,0.009469134644376230,3,66,29,49
SE22,0.0519037604395021,0.06939013857517850,2,111,124,
TW2,0.024004602130193100,0.05900460513654040,3,75,40.0,42.0
SE25,0.01150937790431880,0.07108511547244700,3,18,66.0,90.0
SW10,0.00543645560301876,0.18745993563924100,3,38,39.0,26.0
SW17,0.09460608464909430,0.27834335702006100,3,84,30.0,23.0
EN4,0.0001690893658124170,0.42739516552602800,3,105,68.0,28.0
EN3EN8,0.0010415882915800700,0.0011069327219724300,3,100,35.0,77.0
UB3,0.007571790127774940,0.002583043670418560,3,63,18.0,16.0
W11,0.09857380639426690,0.0029824225709619500,3,21,35.0,39.0
IG3,0.008819195397814220,0.04696849185180400,2,40,73.0,
SW2,0.04956398585083450,0.04142984762060020,3,19,52.0,75.0
N19,0.09681879526989080,0.06831694917540760,2,105,66.0,
SW5,0.04063791077270320,0.0958796430735147,3,16,70.0,22.0
N5,0.09171639801393530,0.02196432011137340,3,30,74.0,59.0
N2,0.05006952653776720,0.2581397259130390,3,55,37.0,30.0
NW1,0.05695744270163900,0.10295736123522500,3,96,37.0,71.0
HA6,0.06014992161730090,0.4030792874965600,3,104,76.0,16.0
SE13,0.020280465126208300,0.18269581259839100,3,84,105.0,126.0
SE4,0.04215634211390730,0.0915634929132823,2,97,94.0,
NW6,0.03713928427814650,0.05604394273598650,3,23,78.0,68.0
HA1,0.04848270602125320,0.11165674119706400,2,128,62.0,
SE3,0.009569037907733520,0.00863398331707553,3,28,51.0,42.0
SE14,0.056510014816389000,0.03900466686691700,2,74,102.0,
SW16,0.029110716198697800,0.04600666757789630,3,39,50.0,43.0
NW10,0.04115473013320940,0.03464216332448650,2,88,40.0,
SW11,0.027756257012712500,0.05710220705071270,3,23,114.0,70.0
UB2,0.034749818502439700,0.050939223170740100,3,45,40.0,83.0
EN5,0.004685190473928280,0.01583184429421720,2,22,81.0,
UB5,0.0989675938117214,0.025913199936876700,2,49,66.0,
EN2,0.026365023455860900,0.056546825705077700,3,100,70.0,64.0
SE24,0.09997535631675530,0.1444898186933100,3,23,37.0,72.0
E14,0.06065431697718790,0.004132177887712140,2,83,80.0,
SE23,0.00494000092583321,0.006217704392437130,3,36,57.0,17.0
E13,0.009628937952401720,0.07766559950231540,3,127,82.0,121.0
TW4,0.026439041267331200,0.313321435741306,3,50,103.0,71.0
N3,0.08799277923487030,0.2317280068024270,3,93,45.0,33.0
N4,0.004178313922033080,0.21310973989573500,3,82,128.0,16.0
SE15,0.007055094481480890,0.0425630608994641,2,64,124.0,
NW7,0.06463155008034500,0.19571278532515100,3,26,79.0,31.0
HA0,0.004530476672049370,0.10133127447489200,2,35,84.0,
SE5,0.010025673624548700,0.1438487669397130,3,109,40.0,53.0
SE12,0.003462440507093390,0.06883616735934500,3,37,33.0,71.0
TW10,0.018790628118770100,0.0028003852053177900,3,41,70.0,81.0
HA7,0.010143177490400100,0.11553253709447200,2,69,49.0,
W10,0.09184361679983010,0.18518108765614600,3,78,83.0,24.0
SW20,0.0002448686586570650,0.17069825953984900,2,98,58.0,
SW4,0.06045516667180710,0.04690830944961510,2,63,73.0,
N18,0.03604046728656870,0.2421146417851640,3,46,122.0,128.0
IG5,0.09750045341331340,0.030948198703882800,2,113,103.0,
SW3,0.07812506349890590,0.004896196310565930,2,125,126.0,
IG2,0.0484728264578634,0.1419023304192960,3,106,78.0,83.0
SW13,0.09305139165521420,0.23531215293300700,3,27,99.0,53.0
SW14,0.04357763775229650,0.3070486715708890,2,108,86.0,
E11,0.023501780396422300,0.0009355376937447140,3,19,19.0,53.0
SE21,0.04972313643679700,0.44675716220460600,2,56,31.0,
TW1,0.01893370303775390,0.08443007974020260,2,42,36.0,
SE26,0.026010851414584900,0.10759601038997500,3,63,99.0,34.0
NW2,0.08860820411524450,0.034454688510964100,3,28,39.0,61.0
TW12,0.04734633913568810,0.048233147424180300,2,22,126.0,
HA5,0.008390599705773910,0.1552965835805060,3,125,22.0,16.0
SE10,0.03445951559070070,0.04273710724881420,2,114,103.0,
SE7,0.09826653214509230,0.020849121177787300,2,127,16.0,
NW5,0.02220018458283440,0.1344395792393920,3,73,126.0,125.0
RM8,0.056649984210585,0.0014889126398992500,2,84,24.0,
HA2,0.005097453746903600,0.1900157712174900,2,81,50.0,
SE17,0.04388883293268440,0.2128612213946950,3,24,100.0,16.0
W8,0.04605123882674600,0.10295463822674600,3,39,77.0,29.0
DA18,0.04918394611717720,0.2446362940601560,3,35,50.0,62.0
N6,0.03214596889696080,0.10732926419624100,2,19,88.0,
N1,0.045170308827334300,0.0025235254507922600,2,75,74.0,
KT9,0.09981134656223340,0.01501764303611500,3,21,39.0,39.0
SW1,0.002891219596144200,0.0005153804346795380,3,127,104.0,24.0
IG7,0.01985602383367440,0.1968647502802350,3,45,33.0,32.0
W12,0.009874506165481210,0.03532268408178750,2,58,37.0,
E9,0.033505927404140500,0.25186451623758000,3,82,98.0,59.0
SE27,0.031998050374737000,0.10434057373376800,2,35,121.0,
E17,0.00912588130657105,0.06077655076117140,2,36,54.0,
IG1IG4,0.013979045535893600,0.04036935914766510,3,89,64.0,20.0
TW7,0.09298687525698340,0.07509587748326940,2,94,124.0,
E10,0.0057105685328632900,0.11656913891542400,2,94,83.0,
UB1,0.005374507807637360,0.12684237950409600,3,47,25.0,29.0
UB6,0.0038992305297155800,0.0131544299957852,3,81,27.0,17.0
EN1,0.0016487301203175900,0.10412959010840900,1,70,,
SW15,0.09966784015975000,0.153275893673842,2,63,33.0,
SW12,0.010410363506403000,0.03259158764398960,3,89,73.0,37.0
SW7,0.047759949408588700,0.2502642544286370,3,79,35.0,64.0
IG6,0.008231781302388240,0.1161718320134360,3,53,107.0,40.0
W14,0.0577469191086641,0.12512305959308200,3,62,21.0,51.0
SE16,0.04996941182043830,0.17226866576295200,3,116,78.0,79.0
SE1,0.020254296853843200,0.33501532386455700,2,56,74.0,
RM9,0.011674454945989400,0.052765990094818400,3,53,127.0,120.0
NW4,0.01966729405755570,0.11700592340987800,3,48,116.0,44.0
HA3,0.06362128449309700,0.1717984409656640,3,75,117.0,124.0
DA8,0.03207369776866710,0.09063733669146810,3,122,50.0,52.0
SE11,0.008018226244069380,0.0019197073355587500,3,48,32.0,44.0
NW3,0.02576208524662100,0.11326310365942300,3,85,61.0,25.0
HA4,0.0055177667795882700,0.0037483109299086800,2,84,38.0,
TW13,0.012460554672098100,0.009346997217975820,3,53,51.0,33.0
N7,0.09907938061242380,0.1278522968149240,2,96,83.0,
W9,0.09908539449075200,0.04633005707048800,3,72,28.0,42.0
DA5,0.025462525272021600,0.02142255846575570,3,114,59.0,92.0
NW9,0.0684245435837669,0.054569565057136500,3,16,75.0,72.0
BR7,0.002136416189640600,0.37131473730230600,3,116,57.0,19.0
HA9,0.009421641541088330,0.04426667344810900,3,112,63.0,91.0
RM3,0.022347533816484200,7.28516317079694E-05,3,47,86.0,43.0
TN16,0.04804130535076700,0.035040223075974100,2,92,51.0,
KT5,0.021777597768626700,0.026851872105380300,2,55,76.0,
W4,0.03527931966265730,0.24313328917005100,3,21,109.0,40.0
KT2,0.07590030715192540,0.006907942957448340,2,36,125.0,
BR5BR8,0.024349219564571800,0.3147786394466430,3,127,34.0,32.0
DA14,0.0022762862513080900,0.029623987469891100,3,90,87.0,30.0
N16,0.05433079705686770,0.08109930081293120,3,91,84.0,59.0
N11,0.027714858839283600,0.1297219857341990,3,32,117.0,58.0
E5,0.0038023464841463800,0.15229946220912300,2,128,73.0,
E2,0.06273014348954200,0.1747805417712150,3,105,50.0,62.0
SM5,0.004729506690073170,0.13724915527755400,3,88,36.0,116.0
SM2,0.007598239774970630,0.042262065310809500,3,113,71.0,41.0
N20,0.04056988617976280,0.30155516533831400,3,98,36.0,50.0
SW18,0.012192622170047900,0.04729993194899310,2,42,128.0,
IG11,0.037107773387451300,0.055290808113955400,3,53,124.0,80.0
UB10,0.03649304825208650,0.041511151447924400,3,92,60.0,120.0
N10,0.034068533188135400,0.05472687901034550,3,65,24.0,48.0
N17,0.017802769116637100,0.06835382820375410,3,35,93.0,127.0
E3,0.0442001833908627,0.08947979103718350,3,27,93.0,60.0
EC1,0.058529232198134900,0.2985006002793600,3,90,58.0,95.0
HA8,0.031753036939722100,0.051488589612354300,3,24,66.0,81.0
RM2,0.006175054506506350,0.08691241810656700,3,128,23.0,67.0
BR6,0.0925794775875354,0.24525714741575400,1,18,,
NW8,0.01668942286528730,0.10815694264898100,3,128,90.0,17.0
KT3,0.02274262578371250,0.12500216903589800,2,63,18.0,
DA15,0.026733127110111700,0.0021107137920407400,2,126,103.0,
W5,0.09347794644514,0.07775692644995880,2,110,22.0,
WD3,0.06159907295169850,0.46912116423715300,3,50,25.0,16.0
KT4,0.021184484953313800,0.05089113111235760,3,54,62.0,51.0
N21,0.08398837929123610,0.12241744529737700,3,19,125.0,92.0
CR0,0.09184749727797900,0.00209805994657411,2,29,116.0,
SM3,0.007725962255727450,0.2911590495404800,2,72,128.0,
RM10,0.0127094530516846,0.3889034170701250,2,43,44.0,
CR7,0.05233686670381720,0.10150992676392600,3,59,63.0,34.0
SM4,0.021272432303343200,0.35469270013141200,3,108,96.0,76.0
WC2,0.0992561490823769,0.3353852478439230,2,40,119.0,
SW19,0.03868127962549090,0.05417160258121670,3,20,46.0,78.0
UB4,0.004084114701679000,0.1152173420004420,2,39,89.0,
TW11,0.0177150668702713,0.14876185542486100,2,76,25.0,
CR8,0.011317190584445300,0.052765293256847400,2,53,39.0,
TW3,0.007871615084715720,0.23220348177940800,3,74,82.0,19.0
SE2,0.011220773657592300,0.02859565266530560,3,37,77.0,106.0
UB7,0.014563456656618300,0.2599940715768050,2,44,50.0,
SW6,0.046506433380817000,0.003070599400231610,2,81,50.0,
E8,0.07071641217785320,0.003243516638543650,2,35,61.0,
W13,0.02442359183219170,0.07350943831407640,3,126,17.0,32.0
SE6,0.007784303085553310,0.11856929671846700,2,60,127.0,
W3,0.04058333810185990,0.0403927925742372,2,82,21.0,
RM11,0.08226859716564860,0.12339034891272500,2,127,33.0,
BR1,0.08946248491667640,0.022561108519073900,3,16,19.0,19.0
RM5,0.09656890138349750,0.2949339862224420,1,88,,
W2,0.022714991271430600,0.0755858255945073,3,62,84.0,20.0
E16,0.0374776763236675,0.114764217006742,2,68,69,54
E4,0.0374776763236675,0.114764217006742,2,68,69,54
E7,0.0374776763236675,0.114764217006742,2,68,69,54
KT8,0.0374776763236675,0.114764217006742,2,68,69,54
N13,0.0374776763236675,0.114764217006742,2,68,69,54
NW11,0.0374776763236675,0.114764217006742,2,68,69,54
SE20,0.0374776763236675,0.114764217006742,2,68,69,54